Código;Descripción;Descripción adicional;Sinónimo;Código de barras;Tipo;Escala
0101;Gastos varios Anim. Vivos;;;;Simple;No usa
01010001;Cachorras capón;;;;Simple;No usa
01010002;Cerda;;;;Simple;No usa
01010003;Capón;;;;Simple;No usa
01010004;Macho entero inmunocastrado;;;;Simple;No usa
01010005;Merma animales en pie;;;;Simple;No usa
01010006;Capón Liviano;;;;Simple;No usa
01010007;MEI Liviano;;;;Simple;No usa
01010008;Lechón pesado cap;Granja;;;Simple;No usa
01010009;Lechon vivo;Frigo;;;Simple;No usa
01010011;Gastos No grav.;;;;Simple;No usa
01010012;Macho de retajo;;;;Simple;No usa
01010013;Cerda descarte;p/faena;;;Simple;No usa
01010014;Lechón pesado mei;Granja;;;Simple;No usa
01010015;Ajuste de liquidación vivo;Granja;;;Simple;No usa
01020001;Media res;;;;Simple;No usa
01020002;Merma media res;;;;Simple;No usa
01020003;Perdida por rinde Media res;;;;Simple;No usa
01020004;Media res cerda;;;;Simple;No usa
01030001;Adicional cortes;;;;Simple;No usa
01030002;Asado;3 kg;;2100151100005;Simple;No usa
01030003;Asado premium;4 Kg.;;2100157100009;Simple;No usa
01030004;Baso;;000149;;Simple;No usa
01030006;Bife de lomo;;000201;;Simple;No usa
01030007;Bifes de cerdo;;00044;;Simple;No usa
01030008;Blanda de cerdo;;00045;;Simple;No usa
01030009;Bolson canino;;00020;;Simple;No usa
01030011;Bondiola sin hueso;;00124;;Simple;No usa
01030012;Cabeza;;00029;;Simple;No usa
01030013;Caracu;;00025;;Simple;No usa
01030014;Carre;;00119;;Simple;No usa
01030016;Chuleta de cerdo con cuero;Chuleta de Jamón;00056;;Simple;No usa
01030018;Chuleta de paleta;;00160;;Simple;No usa
01030019;Churrascos de bondiola;;00135;;Simple;No usa
01030020;Combo locro ;3kg;;2100158100008;Simple;No usa
01030021;Combo semanal;4 Kg.;;2100156100000;Simple;No usa
01030022;Corazon de cerdo;;00148;;Simple;No usa
01030023;Costeleta;;00006;;Simple;No usa
01030024;Costeleta al traves;;00019;;Simple;No usa
01030025;Costilla - Pechito;;00016;;Simple;No usa
01030026;Costillar completo;;00142;;Simple;No usa
01030027;Cuero de cerdo;;00072;;Simple;No usa
01030028;Descarte;;;;Simple;No usa
01030029;Higado de cerdo;;00147;;Simple;No usa
01030030;Huesos;;;;Simple;No usa
01030031;Jamon con cuero y huesos;;00038;;Simple;No usa
01030032;Lechon;Locales;00022;;Simple;No usa
01030033;Lengua;;00202;;Simple;No usa
01030034;Lomo;;00150;;Simple;No usa
01030035;Matambre de cerdo;;00004;;Simple;No usa
01030036;Matambre de cerdo congelado;;00203;;Simple;No usa
01030038;Oferta asado 2Kg.;Costilla+1/2 chorizo;;2100200100000;Simple;No usa
01030039;Oferta asado 2;Chuleta+Chorizox2.5;;2100162100001;Simple;No usa
01030040;Osobuco del rey;;00138;;Simple;No usa
01030041;Otros cortes;;;;Simple;No usa
01030042;Paleta de cerdo;;00002;;Simple;No usa
01030043;Panceta;;00126;;Simple;No usa
01030044;Pata - Mano;;00009;;Simple;No usa
01030045;Pechito con manta;;00143;;Simple;No usa
01030046;Pernil de cerdo;11 Kg.;00134;;Simple;No usa
01030047;Picada especial;;00042;;Simple;No usa
01030048;Pulmon;;00146;;Simple;No usa
01030049;Pulpa paleta;;00132;;Simple;No usa
01030050;Punta de matambre;;00043;;Simple;No usa
01030051;Recorte de cerdo;80/20;00131;;Simple;No usa
01030052;Ribs;;00067;;Simple;No usa
01030053;Riñon de cerdo;;00154;;Simple;No usa
01030054;Solomillo;;00007;;Simple;No usa
01030055;Tapa de asado;;00014;;Simple;No usa
01030056;T-Bone;;00137;;Simple;No usa
01030057;Tercio medias desposte;;;;Simple;No usa
01030058;Tocino;;00049;;Simple;No usa
01030059;Tomahawk;;00136;;Simple;No usa
01030060;Tripa de cerdo;;;;Simple;No usa
01030061;Unto;;00100;;Simple;No usa
01030062;Vacio de cerdo;;00017;;Simple;No usa
01030063;Adicional comercialización ;;;;Simple;No usa
01030064;Pulpa para embutidos;;00102;;Simple;No usa
01030065;Recorte de cerdo 70/30;;;00098;Simple;No usa
01030066;Pulpa de Jamón para milanesas;;;;Simple;No usa
01030067;Pulpa de Jamón para picada;;;;Simple;No usa
01030068;Oferta chuleta de jamon;2 kg;00208;;Simple;No usa
01030069;Perdida por desposte;;;;Simple;No usa
01030070;Perdida por despiece;;;;Simple;No usa
01030071;Pulpa paleta para picada;;;;Simple;No usa
01030072;Oferta chuleta de paleta;2 kg;00210;2002000000019;Simple;No usa
01030073;Merma cortes;;;;Simple;No usa
01030074;Cortes varios;;;;Simple;No usa
01030075;Costillar cuarteado;;00123;;Simple;No usa
01030076;Cuarto Delantero;;;;Simple;No usa
01030077;Cuarto trasero;;;;Simple;No usa
01030078;Bolson chuleta de paleta;4 kg;00122;2000122009651;Simple;No usa
01030079;Bolson chuleta de jamon;4 kg;00121;2000121002356;Simple;No usa
01030080;Chuleta de paleta x3kg;Feria interior;;;Simple;No usa
01030084;Bolson Chuleta x 2kg;feria interior ;;;Simple;No usa
01030086;Combo locro Premium;3kg con panceta;;2100213100004;Simple;No usa
01030087;Combo semanal x 3kg;feria interior ;401;;Simple;No usa
01030088;Oferta picada especial;+ 2 kg;00215;;Simple;No usa
01030089;Pulpa de paleta p/bife;;;;Simple;No usa
01030090;Pulpa de cerdo;;;;Simple;No usa
01030091;Oferta Bife;+ 2 kg;00046;;Simple;No usa
01030092;Combo locro 3kg;feria interior;;;Simple;No usa
01030093;Oferta Milanesa;+ 2 kg;00058;;Simple;No usa
01030094;Paleta entera;;00130;;Simple;No usa
01030095;Merma cortes;21%;;;Simple;No usa
01030096;Conejo No Gravado;;;;Simple;No usa
01030097;Grasa de cerdo;Unto;000048;;Simple;No usa
01030098;Descarte carne;;;;Simple;No usa
01030099;Tercio medias Capon;desposte;;;Simple;No usa
01030100;Tercio medias Cerdas;desposte;;;Simple;No usa
01040001;Albóndigas x 12 Unid;;;2100003100009;Simple;No usa
01040002;Chorizo bombon;;00005;;Simple;No usa
01040003;Chorizo bombon de cerdo;;;;Simple;No usa
01040004;Chorizo bombon de cerdo env.;Envasado al vacio 5k;;;Simple;No usa
01040005;Chorizo criollo;;00012;;Simple;No usa
01040006;Chorizo de cerdo;;00139;;Simple;No usa
01040007;Chorizo de cerdo en bolsa 5 kg;;;2100023100003;Simple;No usa
01040008;Chorizo especial;;00011;;Simple;No usa
01040010;Hamburguesa premium x 4 Unid;Band x 4 Unid.;00161;2116102990007;Simple;No usa
01040011;Hamburguesa premium x Unid;KG;00133;2113300365002;Simple;No usa
01040012;Milanesa de cerdo;;00057;;Simple;No usa
01040013;Milanesa de cerdo congelada;;00204;;Simple;No usa
01040014;Salchicha parrillera;;00027;;Simple;No usa
01040016;Oferta chorizo criollo;2kg (venta x unidad);;2100013100006;Simple;No usa
01040017;Chorizo de cerdo picante;;00010;;Simple;No usa
01040018;Pasta parrillera;;00018;;Simple;No usa
01040019;Modulo Alimentario;;;;Simple;No usa
01040020;Salame artesanal;;000098;;Simple;No usa
01040021;Chorizo especial c/morron;;00051;;Simple;No usa
01040022;Chorizo especial c/morron y queso;;00052;;Simple;No usa
01040023;Chorizo especial c/roquefort;;00053;;Simple;No usa
01040024;Nuggets de cerdo;;00094;;Simple;No usa
01040025;Bastones de cerdo;;00095;;Simple;No usa
01050001;Cabrito;;00145;;Simple;No usa
